session_id,scenario_name,allocation_type,fund_a,fund_b,actual_return_a,actual_return_b,new_trial_num
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.0041798586065084,0.0567285680897997,15
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,21,79,0.0041798586065084,0.0567285680897997,15
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.0041798586065084,0.0567285680897997,15
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00480981565945932,-0.0641703482187784,16
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,51,49,0.00480981565945932,-0.0641703482187784,16
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.00480981565945932,-0.0641703482187784,16
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00606970286968131,0.00482921263450854,17
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,14,86,0.00606970286968131,0.00482921263450854,17
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,10,90,0.00606970286968131,0.00482921263450854,17
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00606970686891875,0.0759627502721744,18
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00606970686891875,0.0759627502721744,18
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,49,51,0.00606970686891875,0.0759627502721744,18
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.00606970686891875,0.0759627502721744,18
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,60,40,0.00566974486530315,0.0226056486323568,19
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,66,34,0.00566974486530315,0.0226056486323568,19
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,70,30,0.00566974486530315,0.0226056486323568,19
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,90,10,0.00480981365977484,0.0187847746913014,20
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,20,80,0.00480981365977484,0.0187847746913014,20
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,80,20,0.00480981365977484,0.0187847746913014,20
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,80,20,0.00695956504086577,0.029141650450692,21
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,84,16,0.00695956504086577,0.029141650450692,21
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,90,10,0.00695956504086577,0.029141650450692,21
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,90,10,0.00440984565720354,0.0058555841782897,22
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,53,47,0.00440984565720354,0.0058555841782897,22
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.00440984565720354,0.0058555841782897,22
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,60,40,0.00440984565720354,-0.0387515480440067,23
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,40,60,0.00440984565720354,-0.0387515480440067,23
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.00440984565720354,-0.0387515480440067,23
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.0039998723054653,-0.150759475203989,24
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,46,54,0.0039998723054653,-0.150759475203989,24
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.0039998723054653,-0.150759475203989,24
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.0039798736053805,0.021857954652913,25
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,58,42,0.0039798736053805,0.021857954652913,25
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.0039798736053805,0.021857954652913,25
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00314992125263155,-0.130215918641071,26
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,74,26,0.00314992125263155,-0.130215918641071,26
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.00314992125263155,-0.130215918641071,26
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00293993070220319,0.135898902444054,27
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.00293993070220319,0.135898902444054,27
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,40,60,0.00293993070220319,0.135898902444054,27
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.00293993070220319,0.135898902444054,27
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,initial,50,50,0.0023099548512541,0.0399281148504376,28
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,ai,93,7,0.0023099548512541,0.0399281148504376,28
0a23b02d-7b80-4df5-a1a0-e8fbc0276d6e,short-term_unbalanced,final,50,50,0.0023099548512541,0.0399281148504376,28
